feature,n,routed_frr,routed_net,ef32_frr,ef32_net,steer_frr,steer_net
"adjectival_suffix",18,0.7222,,0.7222,,0.4444,0.1587
"emphatic_structure",18,0.9444,,1.0000,,0.9444,0.3194
"active_verbs",17,0.6471,,1.0000,,0.5882,0.2132
"commisive",15,0.7500,,0.7500,,0.6667,0.1667
"future_progressive",15,1.0000,,1.0000,,1.0000,0.6667
"cleft_sentences",14,0.8462,,0.9231,,0.8462,0.6462
"elliptical_sentences",14,0.5000,,0.5000,,0.4286,-0.0714
"past_perfect",14,0.9286,,1.0000,,0.9286,0.3036
"synecdoche",14,0.4615,,0.4615,,0.3846,0.0513
"third_person_singular",14,0.7857,,0.7857,,0.7857,-0.0476
"transitional",14,0.7143,,0.6429,,0.8571,0.6071
"turn_taking",14,0.6429,,0.7143,,0.5714,-0.2619
"degree_prefix",13,1.0000,,1.0000,,0.8462,-0.1538
"directive",13,0.6923,,0.6923,,0.6923,0.1923
"mass_noun",13,0.4615,,0.7692,,0.6154,0.1868
"spatial_or_directional_prefix",13,0.6000,,0.8000,,0.7000,0.4143
"split_infinitives",13,0.4615,,0.1538,,0.3077,0.3077
"echo_questions",12,0.5833,,0.6667,,0.5833,-0.1310
"epistemic",12,1.0000,,1.0000,,0.9167,-0.0833
"extraposition",12,0.2500,,0.2500,,0.5000,0.5000
"future_perfect",12,1.0000,,1.0000,,0.9167,0.5833
"nominal_suffix",12,0.5833,,0.7500,,0.3333,0.0000
"of_genitive",12,0.5833,,0.5833,,0.4167,0.2167
"passive_voice",12,0.8333,,1.0000,,0.9167,0.3611
"past_participle_irregular",12,0.8333,,0.9167,,0.3333,-0.3333
"past_tense_irregular",12,0.9167,,0.9167,,0.3333,-0.1667
"punctual_durative",12,0.5833,,0.5833,,0.5833,0.1833
"referring",12,0.6667,,0.7500,,0.3333,0.3333
"relative_clauses",12,0.9167,,1.0000,,0.8333,0.4583
"telic_atelic",12,0.5833,,0.5833,,0.3333,0.0000
"universal_quantifiers",12,0.9167,,1.0000,,1.0000,0.6667
"adverbial_suffix",11,0.4545,,0.4545,,0.6364,0.0649
"appositives",11,0.5455,,0.5455,,0.8182,0.1515
"deixis",11,0.7778,,0.6667,,0.5556,0.5556
"deontic",11,0.7000,,0.8000,,0.8000,0.3000
"existential_quantifiers",11,0.5455,,0.5455,,0.9091,-0.0909
"future",11,0.9091,,0.9091,,0.9091,0.5758
"nominal_adverbials",11,0.5455,,0.7273,,0.5455,0.0455
"noun_plural",11,1.0000,,1.0000,,0.8182,0.4182
"personification",11,1.0000,,1.0000,,0.9091,0.1591
"present_progressive",11,0.8182,,0.8182,,0.9091,0.4805
"quantifier",11,0.5455,,0.4545,,1.0000,0.2000
"static_dynamic",11,0.5455,,0.5455,,0.4545,-0.2121
"comparative",10,0.7000,,0.7000,,0.4000,-0.1000
"declaration",10,0.3000,,0.5000,,0.2000,-0.1333
"expletive",10,0.5556,,0.4444,,0.7778,0.5778
"expressive",10,0.7000,,0.7000,,0.5000,-0.5000
"first_conditional",10,0.6000,,1.0000,,0.6000,0.2000
"interrogative",10,1.0000,,1.0000,,1.0000,1.0000
"metaphor",10,1.0000,,1.0000,,1.0000,0.2500
"middle_verb",10,0.6000,,0.5000,,0.9000,0.6500
"object_expletives",10,0.5556,,0.5556,,0.3333,0.0000
"optative",10,0.9000,,1.0000,,0.9000,0.3286
"past",10,0.8000,,0.7000,,1.0000,0.2857
"past_tense",10,1.0000,,1.0000,,0.5000,-0.0714
"politeness",10,0.9000,,1.0000,,0.7000,0.3000
"present_participle",10,0.9000,,0.9000,,1.0000,0.6000
"resultative",10,0.5000,,0.3000,,0.9000,0.0667
"subject_verb_inversion",10,0.8000,,0.9000,,0.8000,0.3000
"agentive_suffix",9,0.5556,,0.6667,,0.4444,0.0444
"existential",9,0.6667,,0.5556,,0.4444,0.1111
"hyperbole",9,0.8889,,0.8889,,1.0000,0.5000
"indirect_speech",9,1.0000,,1.0000,,1.0000,0.7500
"intransitive_verb",9,1.0000,,1.0000,,0.7778,0.3778
"noun_clauses",9,0.5556,,0.5556,,0.4444,0.1111
"past_progressive",9,1.0000,,1.0000,,1.0000,0.6667
"present_perfect",9,0.8889,,0.8889,,0.7778,0.0278
"quantitative_prefix",9,0.7143,,0.7143,,0.7143,0.4643
"superlative",9,0.7778,,0.7778,,0.5556,-0.1111
"anaphor",8,0.7500,,0.7500,,0.6250,0.0250
"clausal_subjects",8,0.6250,,0.6250,,0.7500,0.1500
"copular_be",8,0.7500,,0.8750,,0.5000,0.3000
"count_nouns",8,0.8750,,0.8750,,0.8750,0.4750
"direct_object",8,0.7500,,1.0000,,0.6250,0.1250
"discourse_markers",8,0.8750,,1.0000,,0.7500,0.2500
"euphemism",8,1.0000,,1.0000,,0.7500,0.0833
"factives",8,0.6250,,0.7500,,0.5000,0.5000
"futurates",8,1.0000,,1.0000,,1.0000,0.2500
"negation_prefix",8,0.6250,,0.7500,,0.3750,0.3750
"subject_auxiliary_inversion",8,0.8750,,1.0000,,0.7500,0.7500
"subjunctive_mood",8,1.0000,,1.0000,,1.0000,0.5000
"verbal_suffix",8,0.3750,,0.6250,,0.2500,-0.5000
"imperative_sentence",7,1.0000,,1.0000,,0.8571,0.8571
"intensifiers",7,0.4286,,0.4286,,0.8571,0.3571
"non_synecdoche_metonymy",7,0.5000,,0.3333,,0.6667,0.6667
"past_participle",7,0.7143,,0.8571,,0.7143,0.0476
"possessive_form",7,1.0000,,1.0000,,1.0000,0.3333
"tag_questions",7,1.0000,,0.8571,,1.0000,0.0000
"temporal_prefix",7,0.6667,,0.6667,,0.6667,0.3333
"linking_verb",6,0.3333,,0.8333,,0.0000,-0.6667
"representative",6,0.5000,,0.5000,,0.6667,-0.0833
"temporal",6,0.5000,,0.5000,,0.6667,0.1667
"transitive_verb",6,0.4000,,0.2000,,0.8000,0.4667
"coordination",5,0.4000,,0.2000,,0.4000,0.1500
"given_known",5,0.6000,,0.6000,,0.8000,-0.2000
"non_defining_relative_clauses",5,1.0000,,1.0000,,1.0000,1.0000
"spatial",5,0.7500,,0.7500,,0.2500,0.2500
"s_genitive",4,1.0000,,1.0000,,1.0000,1.0000
