feature,n,ef32_exact,ef32_sari,ef64_exact,ef64_sari,steer_exact,steer_sari,clamp_exact,clamp_sari,prompt_exact,prompt_sari,pipeline_exact,pipeline_sari,routed_exact,routed_sari,oracle_exact,oracle_sari
"adjectival_suffix",11,0.5455,69.57,0.2727,46.27,0.0000,56.30,0.0909,56.06,0.0000,45.24,0.1818,36.05,0.5455,69.57,0.5455,82.21
"split_infinitives",11,0.0000,66.20,0.0000,63.17,0.3636,65.23,0.0000,51.52,0.0909,51.54,0.0000,72.41,0.2727,71.17,0.3636,82.76
"degree_prefix",10,0.3000,71.73,0.4000,70.69,0.1000,62.37,0.4000,73.15,0.5000,81.83,0.0000,33.07,0.3000,71.73,0.8000,94.17
"emphatic_structure",10,0.7000,90.83,0.7000,90.83,0.4000,74.47,0.6000,88.86,0.6000,87.28,0.5000,68.41,0.7000,90.83,1.0000,100.00
"transitional",10,0.0000,41.44,0.1000,48.69,0.5000,76.88,0.0000,40.91,0.1000,49.72,0.0000,34.81,0.3000,63.45,0.5000,79.38
"active_verbs",9,0.0000,37.05,0.0000,31.18,0.0000,39.35,0.0000,23.30,0.0000,41.76,0.0000,23.89,0.0000,41.58,0.0000,50.93
"commisive",9,0.1111,61.35,0.1111,56.45,0.1111,63.39,0.0000,43.65,0.0000,45.97,0.0000,28.97,0.1111,62.41,0.3333,80.17
"future_progressive",9,0.2222,77.26,0.2222,69.73,0.2222,83.40,0.5556,83.18,0.1111,68.55,0.0000,22.67,0.2222,79.77,0.7778,95.99
"appositives",8,0.0000,38.38,0.0000,39.50,0.0000,6.67,0.0000,20.37,0.0000,29.92,0.0000,37.70,0.0000,22.40,0.0000,47.84
"cleft_sentences",8,0.0000,51.23,0.1250,55.28,0.6250,69.85,0.1250,65.72,0.6250,82.17,0.0000,15.17,0.5000,62.01,0.8750,93.89
"deixis",8,0.1250,59.81,0.1250,64.48,0.0000,51.57,0.1250,50.22,0.0000,44.88,0.0000,14.64,0.1250,57.28,0.1250,71.51
"deontic",8,0.6250,87.58,0.5000,78.68,0.3750,60.59,0.3750,53.32,0.0000,47.08,0.2500,58.70,0.7500,90.49,0.8750,94.66
"expressive",8,0.3750,64.70,0.0000,44.60,0.3750,71.92,0.3750,63.14,0.6250,86.06,0.0000,42.53,0.6250,82.04,0.7500,93.60
"future",8,0.2500,71.65,0.2500,75.40,0.5000,77.50,0.3750,65.53,0.3750,75.73,0.2500,34.35,0.2500,71.65,0.7500,92.78
