feature,n,auroc,where_delta,where_gt,where_lt,steer,clamp,ef32,routed,b2,class
futurates,8,1.0,0.25,1,0,1.0,0.75,0.875,0.875,0.75,A 介入で編集可能
future_perfect,12,1.0,2.0,2,0,0.9167,0.16666666666666666,0.5833,0.5833,0.0,A 介入で編集可能
non_synecdoche_metonymy,7,0.7967,-0.16666666666666666,5,3,0.8571,0.25,0.8571,0.8571,0.5,A 介入で編集可能
interrogative,10,1.0,4.125,7,0,0.7,0.2857142857142857,0.0,0.5,0.0,A 介入で編集可能
of_genitive,12,1.0,2.75,4,0,0.6667,0.2857142857142857,0.1667,0.25,0.2857142857142857,A 介入で編集可能
cleft_sentences,14,0.9621,4.142857142857143,7,0,0.6429,0.125,0.0714,0.4286,0.625,A 介入で編集可能
future,11,0.9348,2.75,4,0,0.6364,0.375,0.2727,0.2727,0.375,A 介入で編集可能
present_progressive,11,1.0,1.2222222222222223,7,0,0.6364,0.25,0.2727,0.3636,0.5,A 介入で編集可能
clausal_subjects,8,1.0,3.0,3,0,0.625,0.0,0.0,0.375,0.3333333333333333,A 介入で編集可能
passive_voice,12,1.0,2.75,4,0,0.5833,0.0,0.0,0.5833,0.0,A 介入で編集可能
past_perfect,14,1.0,1.0,3,0,0.5714,0.16666666666666666,0.3571,0.5714,0.0,A 介入で編集可能
transitional,14,0.9854,5.285714285714286,7,0,0.5714,0.0,0.0,0.3571,0.1,A 介入で編集可能
present_perfect,9,1.0,0.3333333333333333,1,0,0.5556,0.8,0.4444,0.4444,0.0,A 介入で編集可能
past_progressive,9,1.0,1.5,7,0,0.5556,0.6666666666666666,0.2222,0.2222,0.0,A 介入で編集可能
past,10,1.0,1.25,8,0,0.5,0.3333333333333333,0.6,0.6,0.0,A 介入で編集可能
transitive_verb,6,0.8128,3.4,4,0,0.5,1.0,0.5,0.5,0.5,A 介入で編集可能
temporal,6,0.9575,2.888888888888889,8,0,0.5,0.0,0.3333,0.3333,0.5,A 介入で編集可能
expletive,10,0.9659,2.8333333333333335,4,0,0.5,0.0,0.2,0.2,0.0,A 介入で編集可能
present_participle,10,1.0,0.8333333333333334,3,0,0.5,0.6,0.2,0.2,0.2,A 介入で編集可能
optative,10,1.0,4.666666666666667,3,0,0.5,0.0,0.1,0.4,0.0,A 介入で編集可能
politeness,10,1.0,5.833333333333333,6,0,0.5,0.0,0.1,0.3,0.0,A 介入で編集可能
subject_auxiliary_inversion,8,0.9393,2.6666666666666665,3,0,0.5,0.25,0.0,0.25,0.5,A 介入で編集可能
deontic,11,0.9623,1.6666666666666667,4,0,0.4545,0.375,0.7273,0.8182,0.0,A 介入で編集可能
tag_questions,7,1.0,6.25,4,0,0.4286,0.0,0.0,0.2857,0.0,A 介入で編集可能
epistemic,12,0.9831,10.5,2,0,0.4167,0.7142857142857143,0.4167,0.4167,0.2857142857142857,A 介入で編集可能
referring,12,1.0,2.857142857142857,6,0,0.4167,0.0,0.4167,0.4167,0.14285714285714285,A 介入で編集可能
future_progressive,15,1.0,2.5,4,0,0.4,0.5555555555555556,0.2,0.4,0.1111111111111111,A 介入で編集可能
split_infinitives,13,0.9855,0.0,0,0,0.3846,0.0,0.0769,0.3077,0.09090909090909091,A 介入で編集可能
subjunctive_mood,8,0.7647,2.4,4,1,0.375,0.3333333333333333,0.25,0.375,0.0,A 介入で編集可能
euphemism,8,0.8998,4.5,6,0,0.375,0.0,0.0,0.0,0.0,A 介入で編集可能
