feature,n,routed_frr,routed_net,ef32_frr,ef32_net,steer_frr,steer_net
"adjectival_suffix",18,0.7222,,0.8333,,0.4444,0.4444
"emphatic_structure",18,1.0000,,1.0000,,1.0000,0.0000
"active_verbs",17,0.6471,,1.0000,,0.5294,0.4044
"commisive",15,1.0000,,1.0000,,0.8667,0.7000
"future_progressive",15,1.0000,,1.0000,,1.0000,1.0000
"cleft_sentences",14,0.8571,,1.0000,,0.7857,0.7857
"elliptical_sentences",14,0.7143,,0.7857,,0.9286,0.1786
"past_perfect",14,1.0000,,1.0000,,1.0000,0.6250
"synecdoche",14,0.6154,,0.7692,,0.5385,0.4135
"third_person_singular",14,0.7857,,0.7857,,0.4286,0.4286
"transitional",14,0.9286,,0.9286,,0.9286,0.9286
"turn_taking",14,0.9286,,0.9286,,0.7857,0.4524
"degree_prefix",13,0.9231,,0.9231,,0.5385,0.5385
"directive",13,1.0000,,1.0000,,0.6154,0.2821
"mass_noun",13,0.6923,,0.8462,,0.4615,0.3187
"spatial_or_directional_prefix",13,0.7692,,0.7692,,0.8462,0.5462
"split_infinitives",13,0.9231,,1.0000,,0.6923,-0.3077
"echo_questions",12,1.0000,,0.9167,,1.0000,0.2857
"epistemic",12,1.0000,,1.0000,,0.9167,0.7167
"extraposition",12,0.7500,,1.0000,,0.7500,0.5500
"future_perfect",12,1.0000,,1.0000,,1.0000,0.5000
"nominal_suffix",12,0.6667,,0.7500,,0.1667,0.0000
"of_genitive",12,0.9167,,1.0000,,0.8333,0.6333
"passive_voice",12,0.8333,,1.0000,,0.8333,0.2778
"past_participle_irregular",12,0.5000,,0.5000,,0.5000,-0.3333
"past_tense_irregular",12,0.9167,,0.9167,,0.3333,-0.1667
"punctual_durative",12,0.7500,,0.7500,,0.9167,0.5167
"referring",12,1.0000,,1.0000,,0.6667,0.6667
"relative_clauses",12,0.9167,,1.0000,,0.8333,0.7083
"telic_atelic",12,0.7500,,0.7500,,0.6667,0.5000
"universal_quantifiers",12,0.9091,,1.0000,,0.9091,0.9091
"adverbial_suffix",11,0.4545,,0.4545,,0.5455,-0.0260
"appositives",11,0.6364,,0.6364,,1.0000,0.0000
"deixis",11,1.0000,,1.0000,,0.9091,0.5758
"deontic",11,1.0000,,1.0000,,0.9000,0.4000
"existential_quantifiers",11,0.5455,,0.5455,,0.9091,-0.0909
"future",11,0.9091,,0.9091,,0.8182,0.8182
"nominal_adverbials",11,0.5455,,0.5455,,0.3636,-0.0114
"noun_plural",11,1.0000,,1.0000,,0.2727,0.2727
"personification",11,1.0000,,1.0000,,1.0000,0.5000
"present_progressive",11,1.0000,,0.9091,,1.0000,1.0000
"quantifier",11,0.4545,,0.5455,,1.0000,0.2000
"static_dynamic",11,0.8000,,0.7000,,0.6000,-0.4000
"comparative",10,0.7000,,0.7000,,0.4000,0.0667
"declaration",10,0.5000,,0.5000,,0.4000,0.0667
"expletive",10,1.0000,,1.0000,,0.9000,0.7333
"expressive",10,0.9000,,0.9000,,0.5000,-0.5000
"first_conditional",10,0.5000,,1.0000,,0.4000,0.4000
"interrogative",10,1.0000,,1.0000,,1.0000,1.0000
"metaphor",10,1.0000,,1.0000,,1.0000,0.5000
"middle_verb",10,0.5000,,0.5000,,0.4000,0.1500
"object_expletives",10,1.0000,,0.8889,,1.0000,0.3333
"optative",10,0.9000,,1.0000,,0.9000,0.3286
"past",10,0.8000,,0.8000,,0.8000,0.8000
"past_tense",10,1.0000,,1.0000,,0.2000,0.2000
"politeness",10,1.0000,,1.0000,,0.9000,0.9000
"present_participle",10,1.0000,,1.0000,,1.0000,0.6000
"resultative",10,0.4000,,0.4000,,1.0000,0.0000
"subject_verb_inversion",10,0.7000,,1.0000,,0.7000,-0.3000
"agentive_suffix",9,0.6667,,0.6667,,0.2222,0.2222
"existential",9,0.7778,,0.8889,,0.5556,0.3889
"hyperbole",9,1.0000,,1.0000,,1.0000,0.8333
"indirect_speech",9,0.8889,,0.8889,,1.0000,0.7500
"intransitive_verb",9,1.0000,,1.0000,,0.6667,0.4667
"noun_clauses",9,0.8889,,1.0000,,0.7778,0.7778
"past_progressive",9,1.0000,,1.0000,,1.0000,0.8333
"present_perfect",9,1.0000,,1.0000,,1.0000,0.2500
"quantitative_prefix",9,0.6250,,0.3750,,0.5000,0.5000
"superlative",9,0.7778,,0.7778,,0.5556,0.2222
"anaphor",8,0.8750,,0.8750,,0.6250,0.2250
"clausal_subjects",8,0.7500,,1.0000,,0.7500,0.7500
"copular_be",8,0.8750,,1.0000,,0.2500,0.2500
"count_nouns",8,0.7500,,0.8750,,0.5000,0.5000
"direct_object",8,0.8750,,1.0000,,0.5000,0.5000
"discourse_markers",8,0.7500,,0.8750,,0.6250,0.6250
"euphemism",8,1.0000,,1.0000,,1.0000,0.0000
"factives",8,0.8571,,1.0000,,0.7143,0.7143
"futurates",8,1.0000,,0.8750,,1.0000,0.2500
"negation_prefix",8,0.4000,,0.4000,,0.4000,0.4000
"subject_auxiliary_inversion",8,1.0000,,1.0000,,0.8750,0.8750
"subjunctive_mood",8,1.0000,,1.0000,,1.0000,1.0000
"verbal_suffix",8,0.3750,,0.6250,,0.1250,-0.1250
"imperative_sentence",7,1.0000,,1.0000,,0.8571,0.8571
