feature,n,routed_frr,routed_net,ef32_frr,ef32_net,steer_frr,steer_net
"adjectival_suffix",18,0.7222,,0.7778,,0.3889,-0.1825
"emphatic_structure",18,1.0000,,1.0000,,0.9444,0.3194
"active_verbs",17,0.6471,,1.0000,,0.5294,0.1544
"commisive",15,0.9333,,0.9333,,0.9333,0.6000
"future_progressive",15,1.0000,,1.0000,,1.0000,1.0000
"cleft_sentences",14,0.8571,,1.0000,,0.7857,0.7857
"elliptical_sentences",14,0.7143,,0.5000,,0.9286,0.3036
"past_perfect",14,1.0000,,1.0000,,1.0000,0.5000
"synecdoche",14,0.7857,,0.7857,,0.6429,0.5317
"third_person_singular",14,0.7857,,0.7857,,0.2857,-0.3810
"transitional",14,0.8571,,0.9286,,0.7857,0.5357
"turn_taking",14,1.0000,,1.0000,,0.8571,0.3571
"degree_prefix",13,0.7692,,0.7692,,0.8462,-0.1538
"directive",13,0.9231,,0.9231,,0.6923,0.3590
"mass_noun",13,0.2500,,0.6667,,0.2500,0.2500
"spatial_or_directional_prefix",13,0.2222,,0.2222,,0.4444,0.3016
"split_infinitives",13,0.7692,,0.6923,,0.6923,0.1923
"echo_questions",12,1.0000,,0.7500,,1.0000,0.0000
"epistemic",12,1.0000,,1.0000,,0.9167,0.7167
"extraposition",12,0.3333,,0.4167,,0.4167,0.2167
"future_perfect",12,1.0000,,1.0000,,1.0000,0.6667
"nominal_suffix",12,0.5000,,0.5000,,0.4167,0.2500
"of_genitive",12,0.7500,,0.8333,,0.7500,0.5500
"passive_voice",12,0.8333,,1.0000,,0.8333,0.2778
"past_participle_irregular",12,0.5000,,0.5833,,0.3333,-0.1667
"past_tense_irregular",12,0.7500,,0.7500,,0.3333,0.1667
"punctual_durative",12,0.5000,,0.5000,,0.6667,0.0667
"referring",12,1.0000,,0.9167,,0.6667,0.4667
"relative_clauses",12,0.9167,,0.9167,,0.8333,0.4583
"telic_atelic",12,0.5833,,0.5833,,0.5000,0.1667
"universal_quantifiers",12,0.8333,,0.9167,,0.9167,0.5833
"adverbial_suffix",11,0.3636,,0.3636,,0.3636,-0.0649
"appositives",11,0.7273,,0.7273,,1.0000,0.0000
"deixis",11,0.8182,,0.9091,,0.8182,0.1515
"deontic",11,1.0000,,1.0000,,1.0000,0.0000
"existential_quantifiers",11,0.5455,,0.5455,,0.9091,-0.0909
"future",11,0.9091,,0.9091,,0.9091,0.5758
"nominal_adverbials",11,0.4545,,0.3636,,0.6364,0.2614
"noun_plural",11,0.9091,,0.9091,,0.5455,0.3455
"personification",11,1.0000,,1.0000,,1.0000,0.5000
"present_progressive",11,1.0000,,1.0000,,1.0000,0.8571
"quantifier",11,0.5455,,0.5455,,1.0000,0.2000
"static_dynamic",11,0.6364,,0.5455,,1.0000,0.3333
"comparative",10,0.7000,,0.7000,,0.4000,0.0667
"declaration",10,0.7000,,0.8000,,0.7000,0.2000
"expletive",10,0.6000,,0.5000,,0.7000,0.5333
"expressive",10,0.8000,,0.8000,,0.5000,-0.5000
"first_conditional",10,0.5000,,1.0000,,0.4000,0.2000
"interrogative",10,1.0000,,1.0000,,1.0000,1.0000
"metaphor",10,1.0000,,1.0000,,1.0000,0.2500
"middle_verb",10,0.5000,,0.5000,,0.3000,0.0500
"object_expletives",10,0.7000,,0.3000,,0.8000,0.3000
"optative",10,0.9000,,1.0000,,0.9000,0.3286
"past",10,0.8000,,0.8000,,1.0000,0.4286
"past_tense",10,1.0000,,1.0000,,0.3000,0.0143
"politeness",10,0.9000,,1.0000,,0.8000,0.6000
"present_participle",10,0.9000,,0.9000,,1.0000,0.6000
"resultative",10,0.5000,,0.4000,,1.0000,0.0000
"subject_verb_inversion",10,0.8000,,0.9000,,0.9000,-0.1000
"agentive_suffix",9,0.6250,,0.6250,,0.2500,0.2500
"existential",9,0.6667,,0.7778,,0.6667,0.0000
"hyperbole",9,0.7778,,0.6667,,1.0000,0.6667
"indirect_speech",9,0.5556,,0.4444,,0.4444,-0.0556
"intransitive_verb",9,0.7778,,0.7778,,0.6667,0.4667
"noun_clauses",9,0.6667,,0.7778,,0.6667,0.6667
"past_progressive",9,1.0000,,1.0000,,1.0000,0.6667
"present_perfect",9,1.0000,,1.0000,,1.0000,0.2500
"quantitative_prefix",9,0.4444,,0.6667,,0.4444,-0.0556
"superlative",9,0.7778,,0.7778,,0.5556,-0.1111
"anaphor",8,0.8750,,0.8750,,0.6250,0.0250
"clausal_subjects",8,0.8750,,1.0000,,0.8750,0.6750
"copular_be",8,0.8750,,0.8750,,0.6250,0.2250
"count_nouns",8,0.5000,,0.2500,,0.8750,0.8750
"direct_object",8,0.8750,,1.0000,,0.5000,0.2500
"discourse_markers",8,0.8750,,1.0000,,0.7500,0.2500
"euphemism",8,0.7500,,0.7500,,1.0000,0.0000
"factives",8,0.6250,,0.6250,,0.7500,0.7500
"futurates",8,1.0000,,1.0000,,1.0000,0.2500
"negation_prefix",8,0.4000,,0.4000,,0.6000,0.6000
"subject_auxiliary_inversion",8,1.0000,,1.0000,,0.8750,0.8750
"subjunctive_mood",8,1.0000,,1.0000,,1.0000,0.5000
"verbal_suffix",8,0.5000,,0.6250,,0.3750,-0.3750
"imperative_sentence",7,1.0000,,1.0000,,0.8333,0.8333
"intensifiers",7,0.2857,,0.2857,,1.0000,0.7500
"non_synecdoche_metonymy",7,0.7143,,0.7143,,0.7143,0.7143
"past_participle",7,0.8571,,0.8571,,0.7143,0.3810
"possessive_form",7,1.0000,,1.0000,,1.0000,0.3333
"tag_questions",7,1.0000,,1.0000,,1.0000,0.2500
"temporal_prefix",7,0.5714,,0.5714,,0.5714,0.3214
"linking_verb",6,0.3333,,0.6667,,0.3333,0.0000
"representative",6,0.6667,,0.6667,,0.5000,0.2500
"temporal",6,1.0000,,1.0000,,1.0000,0.7500
"transitive_verb",6,0.6667,,0.6667,,0.8333,0.3333
"coordination",5,1.0000,,1.0000,,1.0000,0.0000
"given_known",5,0.8000,,0.8000,,1.0000,0.6667
"non_defining_relative_clauses",5,1.0000,,1.0000,,1.0000,0.5000
"spatial",5,1.0000,,1.0000,,0.5000,0.5000
"s_genitive",4,1.0000,,0.7500,,1.0000,1.0000
