feature,n,ef32_exact,ef32_sari,steer_exact,steer_sari,routed_exact,routed_sari,oracle_exact,oracle_sari
"adjectival_suffix",18,0.5000,71.31,0.0000,51.30,0.5000,69.01,0.5000,76.46
"emphatic_structure",18,0.8333,94.91,0.3333,63.44,0.8333,94.91,0.9444,98.15
"active_verbs",17,0.0000,37.98,0.0000,33.30,0.0000,35.29,0.0000,44.05
"commisive",15,0.0667,59.58,0.2000,64.19,0.2000,66.53,0.2667,73.64
"future_progressive",15,0.2000,70.91,0.4000,85.48,0.4000,81.76,0.6000,90.11
"cleft_sentences",14,0.0714,50.95,0.6429,71.95,0.4286,61.76,0.6429,82.25
"elliptical_sentences",14,0.0000,42.53,0.0000,12.46,0.0000,39.41,0.0000,43.36
"past_perfect",14,0.3571,80.63,0.5714,84.40,0.5714,83.63,0.7143,92.18
"synecdoche",14,0.2143,66.91,0.2857,57.50,0.2143,65.44,0.4286,79.64
"third_person_singular",14,0.4286,70.01,0.0000,44.45,0.4286,70.01,0.4286,74.30
"transitional",14,0.0000,43.33,0.5714,79.36,0.3571,66.68,0.5714,81.15
"turn_taking",14,0.2143,60.09,0.1429,54.43,0.2143,59.78,0.2857,65.52
"degree_prefix",13,0.3077,71.88,0.1538,63.94,0.3077,71.88,0.3846,77.85
"directive",13,0.2308,64.84,0.0769,44.35,0.2308,65.44,0.3077,68.92
"mass_noun",13,0.1538,64.67,0.0769,51.54,0.2308,69.03,0.2308,74.30
"spatial_or_directional_prefix",13,0.0769,62.46,0.3077,72.03,0.0769,62.29,0.3846,81.03
"split_infinitives",13,0.0769,68.95,0.3846,66.81,0.3077,71.83,0.3846,80.44
"echo_questions",12,0.0000,30.18,0.0000,37.32,0.0000,38.74,0.0000,41.91
"epistemic",12,0.4167,73.68,0.4167,67.72,0.4167,74.15,0.5000,76.49
"extraposition",12,0.0000,39.35,0.0000,32.53,0.0000,31.64,0.0000,44.03
"future_perfect",12,0.5833,83.38,0.9167,98.52,0.5833,83.38,1.0000,100.00
"nominal_suffix",12,0.2500,66.95,0.0000,32.38,0.2500,67.73,0.2500,68.32
"of_genitive",12,0.1667,78.57,0.6667,77.09,0.2500,72.02,0.7500,92.70
"passive_voice",12,0.0000,51.63,0.5833,79.89,0.5833,79.89,0.5833,83.73
"past_participle_irregular",12,0.0000,32.26,0.0000,36.98,0.0000,34.16,0.0000,41.22
"past_tense_irregular",12,0.4167,77.53,0.0833,45.34,0.4167,77.53,0.4167,81.00
